mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
0.7389754,17.357227526090668,5.854037556761839e-05,K,57.61288768594185,0,0,0,0,0,0,0,0,0,0.4189403788683446,0.8200858761234806
0.78450316,11.683016920966365,4.817417878517875e-05,K,85.594329509649,0,0,0,0,0,0,0,0,0,0.5495645481702937,1.057793197060268
0.72579426,13.347969644972572,6.53936160149654e-05,K,74.91776102267686,0,0,0,0,0,0,0,0,0,0.3645950726135469,0.7179773081968912
0.82183874,19.768218136442385,5.844657713127587e-05,K,50.58624875028652,0,0,0,0,0,0,0,0,1,0.7332195668915645,1.396640995804543
0.77220476,10.839712998091866,4.9079136423875366e-05,K,92.25336502691832,0,0,0,0,0,0,0,0,0,0.5519579840184464,1.064017154274577
0.7229795,11.440854819384557,6.538574420644733e-05,K,87.40605625950889,0,0,0,0,0,0,0,0,0,0.4330566362048649,0.8488290817293253
0.7417209,12.38658526283134,5.676791185724866e-05,K,80.73250042533665,0,0,0,0,0,0,0,0,0,0.4728036359508116,0.9199533475600984
0.76880276,15.883561798678445,6.143967591938189e-05,K,62.95817101194536,0,0,0,0,0,0,0,0,1,0.56240964409975,1.085606030465962
0.77416104,13.52096690906558,7.064451379216113e-05,K,73.95920770499903,0,0,0,0,0,0,0,0,0,0.5621363556119742,1.0850452104386186
0.78085476,12.40115303595388,6.052583284421279e-05,K,80.63766305445655,0,0,0,0,0,0,0,0,0,0.4725014467035903,0.9169941503983066
0.7369017,17.392828206725323,4.533769793209181e-05,K,57.49496218293744,0,0,0,0,0,0,0,0,1,0.458139620977795,0.8951681549693659
1.0903324,17.929947703923595,9.009790026760588e-05,K,55.77261108135696,0,0,0,0,0,0,0,0,1,1.5782044234621102,3.003396653211672
0.7166758,12.1499791840862,6.527354591985213e-05,K,82.30466775694397,0,0,0,0,0,0,0,0,0,0.3799975966856632,0.7487382423001033
0.8347887,12.899799362266348,6.055545787974412e-05,K,77.52058554686786,0,0,0,0,0,0,0,0,0,0.6537979887099165,1.2556554061579452
0.8094082,10.18915414647893,4.899148149492413e-05,K,98.14357361013822,0,0,0,0,0,0,0,0,0,0.6740528058951031,1.285751515399931
0.7331398,19.78426886422812,5.620636776155233e-05,K,50.54520876473213,0,0,0,0,0,0,0,0,1,0.4736249234475129,0.9233332887249328
0.76276296,11.444001054068238,7.615017566208778e-05,K,87.38202620529374,0,0,0,0,0,0,0,0,0,0.4492612863647601,0.8759565088199717
0.78030926,11.452440096005516,7.187677267258438e-05,K,87.31763638290401,0,0,0,0,0,0,0,0,0,0.4948113523306183,0.9582892889617114
0.75470567,15.166466369478202,4.3517227792797697e-05,K,65.93493669774344,0,0,0,0,0,0,0,0,1,0.5149077057285891,0.9987435473863906
0.7625022,29.77377608368313,8.610667697142795e-05,K,33.586603096273976,0,0,0,0,0,0,0,0,1,0.5293446458347421,1.0387899427084537
0.77281946,13.99637250305867,4.587187814596672e-05,K,71.44708386272707,0,0,0,0,0,0,0,0,1,0.4802185031843745,0.9330375041796742
0.82842463,11.266044567935571,6.38697005658653e-05,K,88.76229753662722,0,0,0,0,0,0,0,0,0,0.6489449542573854,1.2372184803238198
0.7943323,25.68791511250101,6.832519926501662e-05,K,38.92881129591364,0,0,0,0,0,0,0,0,1,0.6421228497949368,1.2317469684867015
0.7317338,11.870064393783531,6.511944957560095e-05,K,84.2455412898779,0,0,0,0,0,0,0,0,0,0.3754788307638289,0.7385453606209276
0.78603166,11.744996563912627,6.831762316777792e-05,K,85.14263878736024,0,0,0,0,0,0,0,0,0,0.5516190195717265,1.066316645843507
0.79630715,11.01694398077676,5.997076931147808e-05,K,90.76927337970308,0,0,0,0,0,0,0,0,0,0.594324941271443,1.1394382673433237
0.7760281,13.091491864427232,5.391100852260968e-05,K,76.38548840390325,0,0,0,0,0,0,0,0,1,0.57804071901883,1.1128492079171337
0.8164505,11.546933859629004,6.09532464365107e-05,K,86.60307681299297,0,0,0,0,0,0,0,0,0,0.6889323104619559,1.3128249340243454
0.7805954,10.43471868639432,7.773836684556137e-05,K,95.83392040112072,0,0,0,0,0,0,0,0,0,0.5140188266913627,0.9985812636416465
0.77235895,10.361080144339606,6.604827461266998e-05,K,96.51503376762442,0,0,0,0,0,0,0,0,0,0.5303088098626356,1.024563661547125
0.8478299,10.618944036322963,6.488915076524075e-05,K,94.17132217473024,0,0,0,0,0,0,0,0,0,0.5682234522030918,1.0885880671397985
0.7975704,18.86679084845654,5.4144036488511054e-05,K,53.00318469803827,0,0,0,0,0,0,0,0,1,0.594838292507061,1.1422331458110828
0.7165088,25.64331619611356,6.20494980035394e-05,K,38.99651637690907,0,0,0,0,0,0,0,0,1,0.427344902857119,0.8412484658529842
0.8081181,11.55669501753006,5.879321660914583e-05,K,86.52992905697737,0,0,0,0,0,0,0,0,0,0.54609075801811,1.051260663968347
0.7755393,25.903498915502475,5.869639859938571e-05,K,38.60482335849732,0,0,0,0,0,0,0,0,1,0.5420929619023762,1.046889329606984
0.73941165,16.182827141908014,6.859449148541717e-05,K,61.79389986872816,0,0,0,0,0,0,0,0,0,0.4772509484323257,0.929902834777409
0.759474,27.298483174908405,6.522867027095099e-05,K,36.63207195772537,0,0,0,0,0,0,0,0,1,0.480506498089064,0.937266945537453
0.8045256,11.873518564971118,5.3438024339496495e-05,K,84.22103309377631,0,0,0,0,0,0,0,0,0,0.5910158151550717,1.1478296291015202
0.7755765,11.233700077787873,5.3302490503489577e-05,K,89.01786526927812,0,0,0,0,0,0,0,0,0,0.5332163776092119,1.032008821343606
0.73449904,10.45894165028063,5.409641983922316e-05,K,95.61196853729156,0,0,0,0,0,0,0,0,0,0.4151521962093954,0.8125739255783279
0.7233779,11.790186380122655,6.579604238098067e-05,K,84.81630126610406,0,0,0,0,0,0,0,0,0,0.4158290086644686,0.8152254560908997
0.76149136,13.483488444491478,5.455377478226928e-05,K,74.16478340280986,0,0,0,0,0,0,0,0,1,0.5400682287103582,1.0484204398424124
0.7877056,16.08691903241982,7.08913214976932e-05,K,62.16230702626831,0,0,0,0,0,0,0,0,0,0.5294974824108156,1.023047873340193
0.7083523,25.469943063446056,6.478614019711395e-05,K,39.26196448531445,0,0,0,0,0,0,0,0,1,0.3764928389218778,0.7433300282764541
0.817033,20.78587157130255,4.644967534328672e-05,K,48.1096015901793,0,0,0,0,0,0,0,0,1,0.5957029560540403,1.1363337705079657
0.84126824,11.383919341855124,4.299812101205896e-05,K,87.84320847419497,0,0,0,0,0,0,0,0,1,0.6451356849567832,1.230563774972632
0.7383321,12.686710915849153,5.012738196638621e-05,K,78.82263627137023,0,0,0,0,0,0,0,0,0,0.4578527692515212,0.8950061744977084
0.7525609,10.65154674708436,5.9526874550114e-05,K,93.88307855605376,0,0,0,0,0,0,0,0,0,0.5234914424951047,1.014146777740943
0.79261863,10.651232574186364,4.348459692391394e-05,K,93.88584776784757,0,0,0,0,0,0,0,0,1,0.6076200795225077,1.1651287864049242
0.79786706,11.815365653221823,4.7163621579823794e-05,K,84.63555249577225,0,0,0,0,0,0,0,0,1,0.6019251768210321,1.1572541157952128
