,Unnamed: 0,mass,distance_pc,Earth_like_detectability,Super_Earth_detectability,Sub_Neptune_detectability,Neptune_like_detectability,Earth_like_DI,Super_Earth_DI,Sub_Neptune_DI,Neptune_like_DI
63,63,17224.201344,94.16829807893043,1,1,1,1,100.0,100.0,100.0,100.0
64,64,18272.27808,70.81670105140999,1,1,1,1,100.0,100.0,100.0,100.0
65,65,18135.3984,76.70542396080876,1,1,1,1,100.0,100.0,100.0,100.0
66,66,18104.965872,94.3651767447342,1,1,1,1,100.0,100.0,100.0,100.0
67,67,18413.508960000003,89.07624644721452,1,1,1,1,100.0,100.0,100.0,100.0
68,68,18082.88496,94.23863818576967,1,1,1,1,100.0,100.0,100.0,100.0
69,69,18069.840096,88.58899094275509,1,1,1,1,100.0,100.0,100.0,100.0
70,70,17770.330032,89.66275424624945,1,1,1,1,100.0,100.0,100.0,100.0
71,71,18117.737232,46.0314846573768,1,1,1,1,100.0,100.0,100.0,100.0
72,72,17287.34784,83.51615183748224,1,1,1,1,100.0,100.0,100.0,100.0
73,73,16918.672848,92.46409465733451,1,1,1,1,100.0,100.0,100.0,100.0
74,74,20313.07152,87.5160224256703,1,1,1,1,100.0,100.0,100.0,100.0
75,75,18150.2832,78.97763489783645,1,1,1,1,100.0,100.0,100.0,100.0
76,76,18627.45024,86.70663625837413,1,1,1,1,100.0,100.0,100.0,100.0
77,77,20384.725536,99.59614270565334,1,1,1,1,100.0,100.0,100.0,100.0
78,78,17160.19536,74.1942774185224,1,1,1,1,100.0,100.0,100.0,100.0
79,79,18091.06656,84.0048580356084,1,1,1,1,100.0,100.0,100.0,100.0
80,80,17021.72472,95.12745684217911,1,1,1,1,100.0,100.0,100.0,100.0
81,81,18585.921984,70.34465896528005,1,1,1,1,100.0,100.0,100.0,100.0
82,82,19160.11104,90.3431002821954,1,1,1,1,100.0,100.0,100.0,100.0
83,83,18436.44096,87.0835113248124,1,1,1,1,100.0,100.0,100.0,100.0
84,84,17660.39856,92.741894075283,1,1,1,1,100.0,100.0,100.0,100.0
85,85,17487.55008,96.15047044323669,1,1,1,1,100.0,100.0,100.0,100.0
86,86,20100.139584,48.42501483663319,1,1,1,1,100.0,100.0,100.0,100.0
87,87,19168.09104,88.24179342510179,1,1,1,1,100.0,100.0,100.0,100.0
88,88,17519.26176,94.17753273555344,1,1,1,1,100.0,100.0,100.0,100.0
89,89,19107.69504,18.91961467038151,1,1,1,1,100.0,100.0,100.0,100.0
90,90,17726.079840000002,90.11059398819594,1,1,1,1,100.0,100.0,100.0,100.0
91,91,17489.67696,98.82943314513405,1,1,1,1,100.0,100.0,100.0,100.0
92,92,17613.58536,78.11238681939085,1,1,1,1,100.0,100.0,100.0,100.0
93,93,17383.15824,94.65975516348334,1,1,1,1,100.0,100.0,100.0,100.0
94,94,20158.126128,88.97880249840861,1,1,1,1,100.0,100.0,100.0,100.0
95,95,17874.5532,83.20355962347469,1,1,1,1,100.0,100.0,100.0,100.0
96,96,20143.65864,26.07257503716845,1,1,1,1,100.0,100.0,100.0,100.0
97,97,17807.71272,73.92978493403763,1,1,1,1,100.0,100.0,100.0,100.0
98,98,18303.148416,68.09462001651116,1,1,1,1,100.0,100.0,100.0,100.0
99,99,18476.66184,97.22939931029744,1,1,1,1,100.0,100.0,100.0,100.0
100,100,18158.532,98.27767492059355,1,1,1,1,100.0,100.0,100.0,100.0
101,101,19534.03536,68.03557847656997,1,1,1,1,100.0,100.0,100.0,100.0
102,102,18310.68624,99.9847306644017,1,1,1,1,100.0,100.0,100.0,100.0
103,103,18048.996000000003,71.96415957986981,1,1,1,1,100.0,100.0,100.0,100.0
104,104,18192.396432,69.96796262189527,1,1,1,1,100.0,100.0,100.0,100.0
105,105,18686.514336,73.03595489795829,1,1,1,1,100.0,100.0,100.0,100.0
106,106,18128.90016,60.15568259000365,1,1,1,1,100.0,100.0,100.0,100.0
107,107,18151.88592,83.39539934071689,1,1,1,1,100.0,100.0,100.0,100.0
108,108,18414.010944,92.42772370391076,1,1,1,1,100.0,100.0,100.0,100.0
109,109,19157.018496,91.04157783537217,1,1,1,1,100.0,100.0,100.0,100.0
110,110,18270.0,87.05824809316616,1,1,1,1,100.0,100.0,100.0,100.0
111,111,20144.18784,23.386896773371816,1,1,1,1,100.0,100.0,100.0,100.0
112,112,18485.13744,81.41793572136613,1,1,1,1,100.0,100.0,100.0,100.0
113,113,16940.69496,70.73721405515487,1,1,1,1,100.0,100.0,100.0,100.0
114,114,18078.81936,95.73669749203944,1,1,1,1,100.0,100.0,100.0,100.0
115,115,18338.9304,89.8675581204356,1,1,1,1,100.0,100.0,100.0,100.0
116,116,19212.213552,18.734162815978664,1,1,1,1,100.0,100.0,100.0,100.0
117,117,16823.26968,90.61678288811176,1,1,1,1,100.0,100.0,100.0,100.0
118,118,18196.5672,78.58978551891688,1,1,1,1,100.0,100.0,100.0,100.0
119,119,18326.30352,86.59497727586816,1,1,1,1,100.0,100.0,100.0,100.0
120,120,19108.908,32.18376595722877,1,1,1,1,100.0,100.0,100.0,100.0
121,121,17731.38528,98.46162363234863,1,1,1,1,100.0,100.0,100.0,100.0
122,122,19897.53024,79.53452063189667,1,1,1,1,100.0,100.0,100.0,100.0
123,123,19318.60896,93.5677812964152,1,1,1,1,100.0,100.0,100.0,100.0
124,124,17554.83744,99.93768383757524,1,1,1,1,100.0,100.0,100.0,100.0
125,125,21562.91088,78.20374575021216,1,1,1,1,100.0,100.0,100.0,100.0
126,126,18051.40848,93.79527301718944,1,1,1,1,100.0,100.0,100.0,100.0
127,127,19362.41496,71.71565665333674,1,1,1,1,100.0,100.0,100.0,100.0
128,128,20980.89168,91.48992718953498,1,1,1,1,100.0,100.0,100.0,100.0
129,129,17691.963744,79.70562475868672,1,1,1,1,100.0,100.0,100.0,100.0
130,130,21710.16624,71.53070490900919,1,1,1,1,100.0,100.0,100.0,100.0
131,131,20890.44048,81.583406348548,1,1,1,1,100.0,100.0,100.0,100.0
132,132,18468.09888,97.45947045276336,1,1,1,1,100.0,100.0,100.0,100.0
133,133,16864.25328,97.16975400987556,1,1,1,1,100.0,100.0,100.0,100.0
134,134,17159.49312,90.59771123971558,1,1,1,1,100.0,100.0,100.0,100.0
135,135,18367.52064,20.23098732852689,1,1,1,1,100.0,100.0,100.0,100.0
136,136,18482.830128,86.89843534094734,1,1,1,1,100.0,100.0,100.0,100.0
137,137,20087.903136,52.34021898324372,1,1,1,1,100.0,100.0,100.0,100.0
138,138,18452.73696,22.377212643599577,1,1,1,1,100.0,100.0,100.0,100.0
139,139,17562.740159999998,82.6309276611015,1,1,1,1,100.0,100.0,100.0,100.0
140,140,18472.05024,95.21076246247443,1,1,1,1,100.0,100.0,100.0,100.0
141,141,18466.46592,88.97566197160302,1,1,1,1,100.0,100.0,100.0,100.0
142,142,18635.42688,98.0564395589342,1,1,1,1,100.0,100.0,100.0,100.0
143,143,18248.80848,87.21820538725554,1,1,1,1,100.0,100.0,100.0,100.0
144,144,16981.57104,98.51872263449596,1,1,1,1,100.0,100.0,100.0,100.0
145,145,18432.74832,87.6721778022625,1,1,1,1,100.0,100.0,100.0,100.0
146,146,18436.87776,81.5731716269024,1,1,1,1,100.0,100.0,100.0,100.0
147,147,18300.71712,90.9497383673054,1,1,1,1,100.0,100.0,100.0,100.0
148,148,19054.68096,6.164578207302766,1,1,1,1,100.0,100.0,100.0,100.0
149,149,20996.07552,66.90021823709932,1,1,1,1,100.0,100.0,100.0,100.0
150,150,17342.686032,97.02700379161055,1,1,1,1,100.0,100.0,100.0,100.0
151,151,18436.41744,89.36284929877333,1,1,1,1,100.0,100.0,100.0,100.0
152,152,19672.233168,61.98999395884695,1,1,1,1,100.0,100.0,100.0,100.0
153,153,17263.76736,90.98403263198512,1,1,1,1,100.0,100.0,100.0,100.0
154,154,17896.08576,95.41762725997296,1,1,1,1,100.0,100.0,100.0,100.0
155,155,16838.345999999998,91.47573764568467,1,1,1,1,100.0,100.0,100.0,100.0
156,156,18034.700544,76.36537459832215,1,1,1,1,100.0,100.0,100.0,100.0
157,157,19437.64368,88.89401010363791,1,1,1,1,100.0,100.0,100.0,100.0
158,158,19372.90992,87.77751777205529,1,1,1,1,100.0,100.0,100.0,100.0
159,159,18189.135888,85.27318527600652,1,1,1,1,100.0,100.0,100.0,100.0
160,160,19225.30848,84.94195127458761,1,1,1,1,100.0,100.0,100.0,100.0
161,161,19547.984736,71.2874854414006,1,1,1,1,100.0,100.0,100.0,100.0
162,162,19599.01104,75.17895361138147,1,1,1,1,100.0,100.0,100.0,100.0
163,163,17664.710784000003,91.61631198431084,1,1,1,1,100.0,100.0,100.0,100.0
164,164,18328.59168,98.77885257198284,1,1,1,1,100.0,100.0,100.0,100.0
165,165,19303.82832,74.21005850966584,1,1,1,1,100.0,100.0,100.0,100.0
166,166,19927.048848,75.33777394472075,1,1,1,1,100.0,100.0,100.0,100.0
167,167,18981.54048,91.87379936029626,1,1,1,1,100.0,100.0,100.0,100.0
