,mass,distance_pc,Earth_like_detectability,Super_Earth_detectability,Sub_Neptune_detectability,Neptune_like_detectability
194,20736.857232000002,87.28312361016856,1,1,1,1
195,18230.17728,21.05405842436165,1,1,1,1
196,20135.562719999998,71.88735449290283,1,1,1,1
197,19306.294560000002,96.18008675791827,1,1,1,1
198,19250.39424,56.76146947715372,1,1,1,1
199,18047.530032,95.17177070607823,1,1,1,1
200,18660.527088000003,58.85475961903906,1,1,1,1
201,16966.09488,96.3810663695196,1,1,1,1
202,19041.057168,90.28669512819532,1,1,1,1
203,19130.73288,99.50352741281448,1,1,1,1
204,17585.186976,75.96355732242874,1,1,1,1
205,20138.373359999998,99.98164144157248,1,1,1,1
206,18247.15536,77.68945326637811,1,1,1,1
207,19139.349599999998,97.0416206348952,1,1,1,1
208,17972.45856,95.10824972204192,1,1,1,1
209,17848.644239999998,78.19546997145801,1,1,1,1
210,20135.10912,75.44108447410764,1,1,1,1
211,18363.132479999997,72.02147878258211,1,1,1,1
212,18220.611360000003,90.26785103019624,1,1,1,1
213,16922.255952,94.81013630454866,1,1,1,1
214,19397.656320000002,84.90077662566146,1,1,1,1
215,17551.967999999997,97.05468871210653,1,1,1,1
216,19031.04,80.56291648310183,1,1,1,1
217,19162.752,55.90632172345197,1,1,1,1
218,18685.170672,74.4578213946931,1,1,1,1
219,18059.2608,67.49729117682602,1,1,1,1
220,17723.985216,93.66453124461324,1,1,1,1
221,17345.556480000003,96.41086506535584,1,1,1,1
222,18099.7908,81.14329332346536,1,1,1,1
223,18098.645376,76.15656617108081,1,1,1,1
224,19465.392912,61.6778786049899,1,1,1,1
225,19889.67792,95.79189867156948,1,1,1,1
226,20146.242144,75.45836240044527,1,1,1,1
227,17331.502944,64.23940744692915,1,1,1,1
228,17261.042400000002,84.57674858355509,1,1,1,1
229,19413.013872,98.88748446129354,1,1,1,1
230,18398.601984,68.60255680907855,1,1,1,1
231,18421.49232,97.33853826511913,1,1,1,1
232,18112.85616,82.4460777756489,1,1,1,1
233,17807.39184,79.02000103750102,1,1,1,1
234,17298.4728,93.70352903174523,1,1,1,1
235,17737.39128,83.89574575358085,1,1,1,1
236,19191.699744,89.74775318646165,1,1,1,1
237,17715.651744,77.50739207836276,1,1,1,1
238,20977.32336,93.82887192496624,1,1,1,1
239,19153.300320000002,79.95235047600019,1,1,1,1
240,18146.964864,88.34315109376256,1,1,1,1
241,18453.637440000002,80.77516314821695,1,1,1,1
242,19232.659152,96.6778698375359,1,1,1,1
243,20122.81152,84.21922193378406,1,1,1,1
244,18098.125920000002,75.55836084619014,1,1,1,1
245,18558.757056,80.59013086682788,1,1,1,1
246,17214.40392,80.63837140366188,1,1,1,1
247,20189.80656,61.32088287130266,1,1,1,1
248,17647.687680000003,75.64460950134475,1,1,1,1
249,17808.137759999998,81.07874090395494,1,1,1,1
250,17847.5388,95.64754738169734,1,1,1,1
251,17900.719200000003,99.9092129503938,1,1,1,1
252,18388.924848,72.24695615926917,1,1,1,1
253,18476.582879999998,95.73750785223744,1,1,1,1
254,17457.181392,69.40408493792751,1,1,1,1
255,17590.610352,81.98089703664567,1,1,1,1
256,19987.597056,93.57291295949923,1,1,1,1
257,18136.011936000003,90.12751974345213,1,1,1,1
258,19013.66544,93.88885054118605,1,1,1,1
259,19125.54336,17.439385162840452,1,1,1,1
260,18480.13104,91.0619605502758,1,1,1,1
261,17192.57232,99.73857249113487,1,1,1,1
262,19704.805344,80.75345861536744,1,1,1,1
263,19254.644640000002,87.46940878644389,1,1,1,1
264,18335.06304,99.40252544784391,1,1,1,1
265,20142.67584,95.16254541323798,1,1,1,1
266,19805.89968,91.10203432447706,1,1,1,1
267,16861.35528,78.00308512157586,1,1,1,1
268,17148.332544,97.06333128965356,1,1,1,1
269,17734.086720000003,93.8612989341436,1,1,1,1
270,17687.52048,93.45495670369148,1,1,1,1
271,20141.516639999998,22.68601019863413,1,1,1,1
272,17240.178816,68.87894730763408,1,1,1,1
273,19196.899680000002,17.197538156182457,1,1,1,1
274,17772.48816,83.12570470009467,1,1,1,1
275,18739.260960000003,80.49852511164156,1,1,1,1
276,19350.239999999998,68.15662556072672,1,1,1,1
277,20645.2176,88.6336943412386,1,1,1,1
278,18014.73072,80.26554982481281,1,1,1,1
279,18338.220095999997,89.79372758744056,1,1,1,1
280,18475.23552,96.16643113717105,1,1,1,1
281,18462.487680000002,87.05041264996463,1,1,1,1
282,18104.198784,81.3010662413565,1,1,1,1
283,21488.1408,97.17887507728504,1,1,1,1
284,18234.72336,90.2104726860693,1,1,1,1
285,19444.32,90.16808980608884,1,1,1,1
286,20394.829392,85.96347987507895,1,1,1,1
287,20075.7984,80.018960157987,1,1,1,1
288,20737.06656,85.4173187406303,1,1,1,1
289,17631.82008,93.60312629536458,1,1,1,1
290,21144.4464,97.16313069572097,1,1,1,1
291,18479.028960000003,95.475699162347,1,1,1,1
292,18484.48896,99.52049233703995,1,1,1,1
293,18199.6584,90.39028240328906,1,1,1,1
294,18186.4032,96.6615180121195,1,1,1,1
295,22974.758016,82.95115804876906,1,1,1,1
296,21315.938448,81.2247627002175,1,1,1,1
297,17772.158880000003,76.18637677370154,1,1,1,1
298,18800.342399999998,75.65761724156532,1,1,1,1
299,17322.99912,98.67082950864034,1,1,1,1
300,18228.86352,94.72757678398554,1,1,1,1
301,17394.297984,93.31023217760372,1,1,1,1
302,18251.696736,82.16628595771209,1,1,1,1
303,17925.33624,96.64338549831348,1,1,1,1
304,19013.27232,73.19431835165469,1,1,1,1
305,18471.08424,93.31700899310364,1,1,1,1
306,18813.648,80.65806627670271,1,1,1,1
307,18116.73024,95.84774091635312,1,1,1,1
308,19077.04176,76.23026794225869,1,1,1,1
309,17859.254448,87.74512001960352,1,1,1,1
310,18155.1552,99.15005631572004,1,1,1,1
311,17938.492319999998,93.13248727027543,1,1,1,1
312,17386.69632,66.63890890435067,1,1,1,1
313,18562.34688,80.68328033891096,1,1,1,1
314,17125.797695999998,96.90260162780864,1,1,1,1
315,19269.455520000003,93.33875447513148,1,1,1,1
316,18446.95104,84.00493319188622,1,1,1,1
317,18458.882400000002,65.46646460716192,1,1,1,1
318,19282.45536,27.04575148470723,1,1,1,1
319,18626.685168000004,99.99841754895576,1,1,1,1
320,18139.28424,86.3259779011643,1,1,1,1
321,20654.67768,88.23820637182999,1,1,1,1
322,18375.116255999998,78.5469099961631,1,1,1,1
323,18052.3392,52.699319283835216,1,1,1,1
324,20139.208319999998,84.89515649236182,1,1,1,1
325,20138.90256,84.31039287550693,1,1,1,1
326,18103.8564,85.310259083595,1,1,1,1
327,18988.52592,94.55429528842537,1,1,1,1
328,17156.844096,90.7812013796322,1,1,1,1
329,17749.96944,97.2001040542596,1,1,1,1
330,17955.61824,95.77283499330008,1,1,1,1
331,17793.370560000003,98.12061353829044,1,1,1,1
332,18396.7392,97.55584408751632,1,1,1,1
333,19267.543680000002,65.0083355955368,1,1,1,1
334,19042.35984,73.33740225716882,1,1,1,1
335,19170.392640000002,69.25236262437646,1,1,1,1
336,20465.93808,91.65877620906517,1,1,1,1
337,17703.6384,69.52270111418781,1,1,1,1
338,18655.79184,67.96013820679308,1,1,1,1
339,18488.09928,76.88037291593365,1,1,1,1
340,20058.77328,78.6071474057241,1,1,1,1
341,20139.314832,99.2037389094266,1,1,1,1
342,18463.95264,99.4848246452402,1,1,1,1
343,18911.241216,92.87417085196324,1,1,1,1
344,18464.218080000002,87.45060367788699,1,1,1,1
345,17913.357839999997,70.71902774003148,1,1,1,1
346,18858.03024,96.85708883181952,1,1,1,1
347,18422.300064,74.79336243390128,1,1,1,1
348,19144.719888,90.90288887217297,1,1,1,1
349,18598.66848,72.57185027681003,1,1,1,1
350,17712.49368,97.31227396669378,1,1,1,1
351,17766.6468,95.01139423362471,1,1,1,1
352,17370.696,99.20624547134668,1,1,1,1
353,18900.648480000003,95.94216178332826,1,1,1,1
354,18478.46616,92.16761902925204,1,1,1,1
355,20149.355519999997,22.69034947586737,1,1,1,1
356,17685.568320000002,95.69831724275656,1,1,1,1
357,17103.309215999998,94.78082223256736,1,1,1,1
358,20799.99264,27.225473819551965,1,1,1,1
359,19146.910944,90.5022767703625,1,1,1,1
360,18603.84288,73.26534989209372,1,1,1,1
361,17723.45904,99.73014511122508,1,1,1,1
362,18584.027616,25.608037061995542,1,1,1,1
363,17539.25376,82.72689821515233,1,1,1,1
364,19166.70168,62.924480774308826,1,1,1,1
365,16827.686400000002,74.01797643328507,1,1,1,1
366,19826.087904,70.75270141770633,1,1,1,1
367,19795.875119999997,80.24272982160834,1,1,1,1
368,18166.60944,83.71696274230135,1,1,1,1
369,17867.00832,95.79385317238872,1,1,1,1
370,18154.10856,89.13272684202134,1,1,1,1
371,17656.647792,96.48851306416094,1,1,1,1
372,18281.036592,91.16538761719356,1,1,1,1
373,18308.453856,84.67177947766129,1,1,1,1
374,20068.621440000003,89.11463315929326,1,1,1,1
375,19704.78384,11.10850024451173,1,1,1,1
376,18102.947519999998,70.91604298043451,1,1,1,1
377,20584.391519999997,22.01486248346892,1,1,1,1
378,18020.0832,98.86928012514194,1,1,1,1
379,17762.248895999997,97.39991637005264,1,1,1,1
380,17898.133344,85.02223928382097,1,1,1,1
381,18448.51008,98.54381503770928,1,1,1,1
382,17011.4112,81.68195671847687,1,1,1,1
383,17587.53192,82.6574643786454,1,1,1,1
384,20058.99168,50.46693561039753,1,1,1,1
385,18120.0684,85.70896587240289,1,1,1,1
386,20040.228432,60.33495595333562,1,1,1,1
387,19634.87904,57.16388777466279,1,1,1,1
388,18408.526080000003,73.94057400688018,1,1,1,1
389,21353.437392,98.58668718630716,1,1,1,1
390,19641.910175999998,70.13908711103346,1,1,1,1
391,19358.569440000003,93.20728990336404,1,1,1,1
392,18705.52992,25.65493304680352,1,1,1,1
393,17930.37456,88.76857163947327,1,1,1,1
394,17759.16072,77.05803939492434,1,1,1,1
395,18458.02056,94.82536373982178,1,1,1,1
396,18471.917520000003,93.73104346600812,1,1,1,1
397,17499.41256,96.53568165567464,1,1,1,1
398,20142.407040000002,72.73332195391369,1,1,1,1
399,19348.33152,67.814091313412,1,1,1,1
400,20436.981600000003,96.90800774598944,1,1,1,1
401,21202.5072,64.70253778239409,1,1,1,1
402,16991.64432,37.75041733483109,1,1,1,1
403,18679.058496,87.18499427000705,1,1,1,1
404,17795.65872,75.01581375333733,1,1,1,1
405,17868.92016,88.61994315358967,1,1,1,1
406,17285.526719999998,69.01978494820689,1,1,1,1
407,19320.23184,93.68349681276014,1,1,1,1
408,18224.06544,89.3790528762065,1,1,1,1
409,17046.42408,32.139407152031026,1,1,1,1
410,18468.3744,15.81908489225298,1,1,1,1
411,17960.4936,99.5116214408638,1,1,1,1
412,18894.732864,11.938274968449214,1,1,1,1
413,17824.50096,91.76794608618908,1,1,1,1
414,18089.245440000002,83.68667871665266,1,1,1,1
415,17227.323456000002,85.52136490306266,1,1,1,1
416,18417.79632,86.90827622269774,1,1,1,1
417,16983.669024,89.77157924170957,1,1,1,1
418,16924.90464,87.78234232940356,1,1,1,1
419,18202.8672,91.02651049666927,1,1,1,1
420,18181.55976,93.97200812478528,1,1,1,1
421,18297.04464,98.20946145655526,1,1,1,1
422,18455.71056,85.3595464267917,1,1,1,1
423,16926.058800000003,97.32989071945096,1,1,1,1
424,17397.019584,83.5592255228788,1,1,1,1
425,17831.372160000003,83.72878265376092,1,1,1,1
426,19493.589024,99.88296912554196,1,1,1,1
427,17542.274400000002,94.47931034873704,1,1,1,1
428,18651.05424,82.75294985090432,1,1,1,1
429,17573.671248,95.69452858119466,1,1,1,1
430,18428.977056,62.93608464992512,1,1,1,1
431,18985.49856,87.14115316185706,1,1,1,1
432,18463.226880000002,93.47690813302911,1,1,1,1
433,18363.742656000002,95.7079938771944,1,1,1,1
434,19385.90976,37.94178649615697,1,1,1,1
435,17465.7588,99.96381876348194,1,1,1,1
436,18865.284480000002,65.80016837677962,1,1,1,1
437,18222.87264,98.34801296572,1,1,1,1
438,18890.745552,65.37538798936833,1,1,1,1
439,17767.18608,79.98742610569275,1,1,1,1
440,19082.859936,56.69911317058834,1,1,1,1
441,17820.1716,22.24007683892304,1,1,1,1
442,18478.982928,70.5695553396829,1,1,1,1
443,18606.06552,88.67389953639567,1,1,1,1
444,19116.113184,44.409805043028825,1,1,1,1
445,18994.5,30.05479077902164,1,1,1,1
446,20771.620799999997,91.06892508207603,1,1,1,1
447,18137.96208,72.4595277010511,1,1,1,1
448,18181.49088,86.06022042833877,1,1,1,1
449,17880.7272,76.29491457779316,1,1,1,1
450,20720.13048,81.50069634136268,1,1,1,1
451,18607.07856,75.02155786530504,1,1,1,1
452,18075.37368,97.28152941681232,1,1,1,1
453,16811.872224,83.98083531744452,1,1,1,1
454,17199.28224,82.69787799728265,1,1,1,1
455,18121.61904,92.59450999346792,1,1,1,1
456,20753.85648,55.67947529313043,1,1,1,1
457,17866.21536,88.17601256701674,1,1,1,1
458,17892.094080000003,98.92815907303437,1,1,1,1
459,19299.67536,45.34193837570722,1,1,1,1
460,18137.0616,27.34217063942256,1,1,1,1
461,22600.7628,91.9546176289604,1,1,1,1
462,18030.722976,98.6872957091675,1,1,1,1
463,17767.702512,91.39988967267472,1,1,1,1
464,17820.347999999998,89.44633626072772,1,1,1,1
465,18014.386992,23.88537045700132,1,1,1,1
466,18376.5456,85.27146380129807,1,1,1,1
467,16977.450672,87.0184979740197,1,1,1,1
468,20028.88944,73.93688041337917,1,1,1,1
469,17075.15712,95.50361267303134,1,1,1,1
470,17882.914559999997,80.10169651015093,1,1,1,1
471,18897.87648,56.89591585689648,1,1,1,1
472,20304.276384,96.88962038561826,1,1,1,1
473,19143.191759999998,42.6208634112909,1,1,1,1
474,17694.06912,97.39373074409028,1,1,1,1
475,18912.63696,93.40129008819407,1,1,1,1
476,18414.595584,62.56546113906397,1,1,1,1
477,19924.751615999998,71.64148055662862,1,1,1,1
478,17187.790032,83.37036969181108,1,1,1,1
479,17816.74944,72.98699259721478,1,1,1,1
480,20514.619776,43.469194281790095,1,1,1,1
481,18359.7288,89.90243699598166,1,1,1,1
482,17514.12264,94.79655397377164,1,1,1,1
483,19100.311776,49.135220281564536,1,1,1,1
484,17638.61232,98.88839964638014,1,1,1,1
485,18274.037040000003,77.41209666122658,1,1,1,1
486,18480.29568,87.88633237856692,1,1,1,1
487,19453.71456,78.57462340393073,1,1,1,1
488,17002.99104,80.96807214221127,1,1,1,1
489,19599.625920000002,51.05620703176487,1,1,1,1
490,17547.379584,93.88608895865356,1,1,1,1
491,20139.236544,62.91557257311518,1,1,1,1
492,20071.50768,44.523882082230045,1,1,1,1
493,17030.70432,79.71289151220144,1,1,1,1
494,16884.394464,84.76836459055778,1,1,1,1
495,18489.119039999998,71.80878433298165,1,1,1,1
496,18352.666080000003,41.79175041020803,1,1,1,1
497,18099.071760000003,99.66482139650576,1,1,1,1
498,18043.45872,87.84933062220561,1,1,1,1
499,18167.34192,68.37660476268726,1,1,1,1
500,19368.71664,98.25221849658512,1,1,1,1
501,17612.05152,81.6343026890801,1,1,1,1
502,19419.93312,28.98835162389002,1,1,1,1
503,18400.753056,91.51386851765444,1,1,1,1
504,18439.1928,98.59781370706814,1,1,1,1
505,19979.81664,97.0826843465513,1,1,1,1
506,19045.572,58.75156050805557,1,1,1,1
507,16977.05856,89.7990335905533,1,1,1,1
508,20609.7948,78.19533789218407,1,1,1,1
509,17969.107632000003,97.36491649348552,1,1,1,1
510,17328.686928000003,73.76816044288837,1,1,1,1
511,19039.881840000002,24.7847227812467,1,1,1,1
512,18047.38152,90.41411209133128,1,1,1,1
513,18703.207152,93.55745027791566,1,1,1,1
514,18469.88304,95.60922531656884,1,1,1,1
515,19267.920000000002,48.19411362113979,1,1,1,1
516,18470.910192000003,90.17842514162687,1,1,1,1
517,17537.96016,82.08065093565455,1,1,1,1
518,18169.57128,99.16054950027645,1,1,1,1
519,17561.3088,81.3191585773918,1,1,1,1
520,17666.6448,74.42818629420958,1,1,1,1
521,18028.690176,91.76673930301722,1,1,1,1
522,18186.185808000002,87.70155052005745,1,1,1,1
523,21283.486559999998,92.11083004654976,1,1,1,1
524,18836.409648,78.43709930504062,1,1,1,1
525,18481.60944,93.11709137678066,1,1,1,1
526,18140.80128,75.66191929424775,1,1,1,1
527,19321.1928,54.7884214934619,1,1,1,1
528,20009.961216000003,22.544602848644573,1,1,1,1
529,17731.44576,93.60865761922328,1,1,1,1
530,17555.838720000003,99.90104698655678,1,1,1,1
531,19171.656,96.83928259190296,1,1,1,1
532,16857.587040000002,88.79178704138877,1,1,1,1
533,18827.0376,42.574591953251854,1,1,1,1
534,18488.59992,84.63625123008336,1,1,1,1
535,17719.388736,94.70689238284788,1,1,1,1
536,17806.250784,73.44032168208537,1,1,1,1
537,18025.964544000002,76.39039462231268,1,1,1,1
538,18459.15456,97.38721283840918,1,1,1,1
539,18005.448719999997,99.1405611877784,1,1,1,1
540,19999.797552,62.7288827208261,1,1,1,1
541,18273.3936,85.90411836812798,1,1,1,1
542,19169.070816,99.18658995175866,1,1,1,1
543,18471.61512,99.80999034187164,1,1,1,1
544,18102.24864,91.16710585653551,1,1,1,1
545,20136.4296,68.25787516458281,1,1,1,1
546,18305.55216,90.5598913692654,1,1,1,1
547,20834.87616,98.3010221530774,1,1,1,1
548,17696.212799999998,92.35997568339324,1,1,1,1
549,17594.854032,87.13493778822067,1,1,1,1
550,17607.557184,96.82549890425848,1,1,1,1
551,18327.6576,28.772369781631,1,1,1,1
552,17494.7724,82.02566220850132,1,1,1,1
553,18268.9248,84.30162022475623,1,1,1,1
554,19408.55952,73.3940824576711,1,1,1,1
555,19541.232480000002,76.04420522930293,1,1,1,1
556,18440.058336000002,82.66506585466949,1,1,1,1
557,20538.411935999997,52.80646083027989,1,1,1,1
558,17074.0248,98.26783725068506,1,1,1,1
559,18455.557344,80.72639503500001,1,1,1,1
560,18238.470768,97.58292103491009,1,1,1,1
561,17434.16808,79.26333287593731,1,1,1,1
562,17825.290559999998,70.89335398541004,1,1,1,1
563,19103.399952,95.23830623667608,1,1,1,1
564,17785.7064,91.16642717841152,1,1,1,1
